Cycle Nr.,1,2,3
Time [s],0,222.2,443.4
Temp. [°C],29.8,29.9,30
A1,0.0425,0.0425,0.0425
A2,0.042100001,0.042300001,0.0425
A3,0.0429,0.043200001,0.043200001
A4,0.043699998,0.044,0.0438
A5,0.042300001,0.042300001,0.042300001
A6,0.042100001,0.042300001,0.042599998
A7,0.042800002,0.043299999,0.043400001
A8,0.043499999,0.043400001,0.043099999
A9,0.0449,0.0449,0.0449
A10,0.043099999,0.043400001,0.043699998
A11,0.041200001,0.041299999,0.041200001
A12,0.048099998,0.048099998,0.048099998
B1,0.0484,0.048999999,0.0491
B2,0.189999998,0.257600009,0.271800011
B3,0.043400001,0.0438,0.044100001
B4,0.175300002,0.238499999,0.244900003
B5,0.108199999,0.087899998,0.102300003
B6,0.167199999,0.203600004,0.207499996
B7,0.102399997,0.129299998,0.173899993
B8,0.139699996,0.226300001,0.243699998
B9,0.221900001,0.237100005,0.25909999
B10,0.041499998,0.041999999,0.042300001
B11,0.070699997,0.071800001,0.072099999
B12,0.047200002,0.0471,0.047200002
C1,0.0495,0.0502,0.0502
C2,0.184900001,0.163599998,0.169
C3,0.043099999,0.043499999,0.0438
C4,0.254000008,0.135299996,0.120800003
C5,0.235599995,0.196199998,0.164100006
C6,0.133000001,0.189500004,0.195899993
C7,0.212300003,0.106700003,0.095899999
C8,0.1039,0.100100003,0.0942
C9,0.093199998,0.096299998,0.0977
C10,0.0429,0.043000001,0.043299999
C11,0.062199999,0.071800001,0.074000001
C12,0.047600001,0.047200002,0.047200002
D1,0.048900001,0.0495,0.0495
D2,0.233899996,0.1787,0.174999997
D3,0.043200001,0.043200001,0.0436
D4,0.270700008,0.147699997,0.112999998
D5,0.244800001,0.237200007,0.221399993
D6,0.123499997,0.203600004,0.212200001
D7,0.213400006,0.089400001,0.137700006
D8,0.0436,0.0447,0.044
D9,0.0416,0.041900001,0.0418
D10,0.0416,0.041499998,0.041900001
D11,0.0592,0.066500001,0.069499999
D12,0.047600001,0.047400001,0.047400001
E1,0.089699998,0.0942,0.095100001
E2,0.067900002,0.068599999,0.069899999
E3,0.044399999,0.045299999,0.046
E4,0.155100003,0.154899999,0.150099993
E5,0.196500003,0.186900005,0.176699996
E6,0.159600005,0.126300007,0.157399997
E7,0.053599998,0.047899999,0.051199999
E8,0.0469,0.047499999,0.047699999
E9,0.0462,0.046700001,0.046799999
E10,0.042399999,0.042100001,0.042300001
E11,0.063199997,0.074299999,0.080300003
E12,0.046599999,0.046599999,0.046599999
F1,0.082500003,0.091200002,0.092299998
F2,0.0722,0.070699997,0.068599999
F3,0.044100001,0.045200001,0.045899998
F4,0.137500003,0.1417,0.139200002
F5,0.197099999,0.203199998,0.201700002
F6,0.114699997,0.146300003,0.162499994
F7,0.046999998,0.059,0.0614
F8,0.042100001,0.042399999,0.0425
F9,0.043099999,0.042399999,0.0425
F10,0.0416,0.041999999,0.042100001
F11,0.0592,0.065499999,0.071699999
F12,0.046,0.046100002,0.0462
G1,0.086099997,0.090099998,0.090700001
G2,0.071199998,0.070100002,0.070100002
G3,0.043699998,0.044,0.044100001
G4,0.087899998,0.082400002,0.079099998
G5,0.167500004,0.1646,0.160699993
G6,0.113600001,0.139300004,0.167300001
G7,0.045200001,0.0495,0.054299999
G8,0.043299999,0.041700002,0.042100001
G9,0.0471,0.044300001,0.044
G10,0.050099999,0.043499999,0.043200001
G11,0.061799999,0.0722,0.078000002
G12,0.046100002,0.0462,0.0462
H1,0.043400001,0.043400001,0.043400001
H2,0.042399999,0.0429,0.0427
H3,0.0429,0.043299999,0.043200001
H4,0.044,0.043699998,0.0438
H5,0.043299999,0.043299999,0.043299999
H6,0.041999999,0.043099999,0.042399999
H7,0.043099999,0.043099999,0.043299999
H8,0.0429,0.042100001,0.0427
H9,0.043400001,0.044399999,0.043699998
H10,0.045299999,0.046500001,0.046999998
H11,0.045200001,0.045000002,0.045299999
H12,0.0458,0.045899998,0.046