well,dilution,count
A1,NA,NA
A2,NA,NA
A3,NA,NA
A4,NA,NA
A5,NA,NA
A6,NA,NA
A7,NA,NA
A8,NA,NA
A9,NA,NA
A10,NA,NA
A11,NA,NA
A12,NA,NA
B1,NA,NA
B2,1.00E-03,6
B3,1.00E-03,15
B4,1.00E-03,10
B5,1.00E-04,13
B6,1.00E-04,12
B7,1.00E-04,6
B8,1.00E-02,20
B9,1.00E-02,19
B10,1.00E-02,27
B11,NA,NA
B12,NA,NA
C1,NA,NA
C2,1.00E-04,26
C3,1.00E-04,28
C4,1.00E-04,23
C5,1.00E-03,45
C6,1.00E-03,44
C7,1.00E-03,37
C8,1.00E-02,23
C9,1.00E-02,26
C10,1.00E-02,25
C11,NA,NA
C12,NA,NA
D1,NA,NA
D2,1.00E-03,18
D3,1.00E-03,21
D4,1.00E-03,20
D5,1.00E-05,16
D6,1.00E-05,17
D7,1.00E-05,10
D8,1.00E-02,13
D9,1.00E-02,11
D10,1.00E-02,12
D11,NA,NA
D12,NA,NA
E1,NA,NA
E2,1.00E-04,39
E3,1.00E-04,33
E4,1.00E-04,24
E5,1.00E-05,16
E6,1.00E-05,16
E7,1.00E-05,11
E8,1.00E-02,12
E9,1.00E-02,7
E10,1.00E-02,10
E11,NA,NA
E12,NA,NA
F1,NA,NA
F2,NA,NA
F3,NA,NA
F4,NA,NA
F5,NA,NA
F6,NA,NA
F7,NA,NA
F8,NA,NA
F9,NA,NA
F10,NA,NA
F11,NA,NA
F12,NA,NA
G1,NA,NA
G2,NA,NA
G3,NA,NA
G4,NA,NA
G5,NA,NA
G6,NA,NA
G7,NA,NA
G8,NA,NA
G9,NA,NA
G10,NA,NA
G11,NA,NA
G12,NA,NA
H1,NA,NA
H2,NA,NA
H3,NA,NA
H4,NA,NA
H5,NA,NA
H6,NA,NA
H7,NA,NA
H8,NA,NA
H9,NA,NA
H10,NA,NA
H11,NA,NA
H12,NA,NA